UKPRN,HE provider,Country of HE provider,Region of HE provider,First year marker,Level of study,Mode of study,Academic Year,Category marker,Category,Number
10005700,SRUC,Scotland,Scotland,All,All,Part-time,2018/19,Total,Total,525
10005700,SRUC,Scotland,Scotland,First year,All,All,2018/19,Total,Total,1080
10005700,SRUC,Scotland,Scotland,First year,All,Full-time,2018/19,Total,Total,770
10005700,SRUC,Scotland,Scotland,First year,All,Part-time,2018/19,Total,Total,310
10005700,SRUC,Scotland,Scotland,Other years,All,All,2018/19,Total,Total,680
10005700,SRUC,Scotland,Scotland,Other years,All,Full-time,2018/19,Total,Total,465
10005700,SRUC,Scotland,Scotland,Other years,All,Part-time,2018/19,Total,Total,215
10007804,The University of Stirling,Scotland,Scotland,All,All,All,2018/19,Total,Total,12500
10007804,The University of Stirling,Scotland,Scotland,All,All,Full-time,2018/19,Total,Total,10480
10007804,The University of Stirling,Scotland,Scotland,All,All,Part-time,2018/19,Total,Total,2020
10007804,The University of Stirling,Scotland,Scotland,First year,All,All,2018/19,Total,Total,4865
10007804,The University of Stirling,Scotland,Scotland,First year,All,Full-time,2018/19,Total,Total,3765
10007804,The University of Stirling,Scotland,Scotland,First year,All,Part-time,2018/19,Total,Total,1100
10007804,The University of Stirling,Scotland,Scotland,Other years,All,All,2018/19,Total,Total,7635
10007804,The University of Stirling,Scotland,Scotland,Other years,All,Full-time,2018/19,Total,Total,6715
10007804,The University of Stirling,Scotland,Scotland,Other years,All,Part-time,2018/19,Total,Total,920
10007805,The University of Strathclyde,Scotland,Scotland,All,All,All,2018/19,Total,Total,22640
10007805,The University of Strathclyde,Scotland,Scotland,All,All,Full-time,2018/19,Total,Total,18280
10007805,The University of Strathclyde,Scotland,Scotland,All,All,Part-time,2018/19,Total,Total,4360
10007805,The University of Strathclyde,Scotland,Scotland,First year,All,All,2018/19,Total,Total,9130
10007805,The University of Strathclyde,Scotland,Scotland,First year,All,Full-time,2018/19,Total,Total,7410
10007805,The University of Strathclyde,Scotland,Scotland,First year,All,Part-time,2018/19,Total,Total,1720
10007805,The University of Strathclyde,Scotland,Scotland,Other years,All,All,2018/19,Total,Total,13510
10007805,The University of Strathclyde,Scotland,Scotland,Other years,All,Full-time,2018/19,Total,Total,10870
10007805,The University of Strathclyde,Scotland,Scotland,Other years,All,Part-time,2018/19,Total,Total,2640
10007114,University of the Highlands and Islands,Scotland,Scotland,All,All,All,2018/19,Total,Total,9525
10007114,University of the Highlands and Islands,Scotland,Scotland,All,All,Full-time,2018/19,Total,Total,5870
10007114,University of the Highlands and Islands,Scotland,Scotland,All,All,Part-time,2018/19,Total,Total,3660
10007114,University of the Highlands and Islands,Scotland,Scotland,First year,All,All,2018/19,Total,Total,4430
10007114,University of the Highlands and Islands,Scotland,Scotland,First year,All,Full-time,2018/19,Total,Total,2785
10007114,University of the Highlands and Islands,Scotland,Scotland,First year,All,Part-time,2018/19,Total,Total,1645
10007114,University of the Highlands and Islands,Scotland,Scotland,Other years,All,All,2018/19,Total,Total,5100
10007114,University of the Highlands and Islands,Scotland,Scotland,Other years,All,Full-time,2018/19,Total,Total,3085
10007114,University of the Highlands and Islands,Scotland,Scotland,Other years,All,Part-time,2018/19,Total,Total,2015
10007800,The University of the West of Scotland,Scotland,Scotland,All,All,All,2018/19,Total,Total,17025
10007800,The University of the West of Scotland,Scotland,Scotland,All,All,Full-time,2018/19,Total,Total,14045
10007800,The University of the West of Scotland,Scotland,Scotland,All,All,Part-time,2018/19,Total,Total,2980
10007800,The University of the West of Scotland,Scotland,Scotland,First year,All,All,2018/19,Total,Total,7760
10007800,The University of the West of Scotland,Scotland,Scotland,First year,All,Full-time,2018/19,Total,Total,5825
10007800,The University of the West of Scotland,Scotland,Scotland,First year,All,Part-time,2018/19,Total,Total,1935
10007800,The University of the West of Scotland,Scotland,Scotland,Other years,All,All,2018/19,Total,Total,9265
10007800,The University of the West of Scotland,Scotland,Scotland,Other years,All,Full-time,2018/19,Total,Total,8220
10007800,The University of the West of Scotland,Scotland,Scotland,Other years,All,Part-time,2018/19,Total,Total,1045
,Total,Scotland,Scotland,All,All,All,2018/19,Total,Total,253475
,Total,Scotland,Scotland,All,All,Full-time,2018/19,Total,Total,195705
,Total,Scotland,Scotland,All,All,Part-time,2018/19,Total,Total,57770
,Total,Scotland,Scotland,First year,All,All,2018/19,Total,Total,106770
,Total,Scotland,Scotland,First year,All,Full-time,2018/19,Total,Total,78280
,Total,Scotland,Scotland,First year,All,Part-time,2018/19,Total,Total,28490
,Total,Scotland,Scotland,Other years,All,All,2018/19,Total,Total,146705
,Total,Scotland,Scotland,Other years,All,Full-time,2018/19,Total,Total,117430
,Total,Scotland,Scotland,Other years,All,Part-time,2018/19,Total,Total,29275
10007783,The University of Aberdeen,Scotland,Scotland,First year,Postgraduate (research),Full-time,2018/19,Total,Total,275
10007783,The University of Aberdeen,Scotland,Scotland,First year,Postgraduate (research),Part-time,2018/19,Total,Total,30
10007783,The University of Aberdeen,Scotland,Scotland,Other years,Postgraduate (research),Full-time,2018/19,Total,Total,630
10007783,The University of Aberdeen,Scotland,Scotland,Other years,Postgraduate (research),Part-time,2018/19,Total,Total,160
10007783,The University of Aberdeen,Scotland,Scotland,All,Postgraduate (research),Full-time,2018/19,Total,Total,905
10007783,The University of Aberdeen,Scotland,Scotland,All,Postgraduate (research),Part-time,2018/19,Total,Total,195
10007783,The University of Aberdeen,Scotland,Scotland,All,Postgraduate (research),All,2018/19,Total,Total,1100
10007783,The University of Aberdeen,Scotland,Scotland,First year,Postgraduate (research),All,2018/19,Total,Total,305
10007783,The University of Aberdeen,Scotland,Scotland,Other years,Postgraduate (research),All,2018/19,Total,Total,795
10007849,Abertay University,Scotland,Scotland,First year,Postgraduate (research),Full-time,2018/19,Total,Total,30
10007849,Abertay University,Scotland,Scotland,First year,Postgraduate (research),Part-time,2018/19,Total,Total,5
10007849,Abertay University,Scotland,Scotland,Other years,Postgraduate (research),Full-time,2018/19,Total,Total,25
10007849,Abertay University,Scotland,Scotland,Other years,Postgraduate (research),Part-time,2018/19,Total,Total,25
10007849,Abertay University,Scotland,Scotland,All,Postgraduate (research),Full-time,2018/19,Total,Total,50
10007849,Abertay University,Scotland,Scotland,All,Postgraduate (research),Part-time,2018/19,Total,Total,30
10007849,Abertay University,Scotland,Scotland,All,Postgraduate (research),All,2018/19,Total,Total,80
10007849,Abertay University,Scotland,Scotland,First year,Postgraduate (research),All,2018/19,Total,Total,35
10007849,Abertay University,Scotland,Scotland,Other years,Postgraduate (research),All,2018/19,Total,Total,50
10007852,The University of Dundee,Scotland,Scotland,First year,Postgraduate (research),Full-time,2018/19,Total,Total,165
10007852,The University of Dundee,Scotland,Scotland,First year,Postgraduate (research),Part-time,2018/19,Total,Total,45
10007852,The University of Dundee,Scotland,Scotland,Other years,Postgraduate (research),Full-time,2018/19,Total,Total,335
10007852,The University of Dundee,Scotland,Scotland,Other years,Postgraduate (research),Part-time,2018/19,Total,Total,120
10007852,The University of Dundee,Scotland,Scotland,All,Postgraduate (research),Full-time,2018/19,Total,Total,495
10007852,The University of Dundee,Scotland,Scotland,All,Postgraduate (research),Part-time,2018/19,Total,Total,160
10007852,The University of Dundee,Scotland,Scotland,All,Postgraduate (research),All,2018/19,Total,Total,660
10007852,The University of Dundee,Scotland,Scotland,First year,Postgraduate (research),All,2018/19,Total,Total,205
10007852,The University of Dundee,Scotland,Scotland,Other years,Postgraduate (research),All,2018/19,Total,Total,450
10007772,Edinburgh Napier University,Scotland,Scotland,First year,Postgraduate (research),Full-time,2018/19,Total,Total,55
10007772,Edinburgh Napier University,Scotland,Scotland,First year,Postgraduate (research),Part-time,2018/19,Total,Total,30
10007772,Edinburgh Napier University,Scotland,Scotland,Other years,Postgraduate (research),Full-time,2018/19,Total,Total,65
10007772,Edinburgh Napier University,Scotland,Scotland,Other years,Postgraduate (research),Part-time,2018/19,Total,Total,65
10007772,Edinburgh Napier University,Scotland,Scotland,All,Postgraduate (research),Full-time,2018/19,Total,Total,120
10007772,Edinburgh Napier University,Scotland,Scotland,All,Postgraduate (research),Part-time,2018/19,Total,Total,95
10007772,Edinburgh Napier University,Scotland,Scotland,All,Postgraduate (research),All,2018/19,Total,Total,210
10007772,Edinburgh Napier University,Scotland,Scotland,First year,Postgraduate (research),All,2018/19,Total,Total,85
10007772,Edinburgh Napier University,Scotland,Scotland,Other years,Postgraduate (research),All,2018/19,Total,Total,130
10007790,The University of Edinburgh,Scotland,Scotland,First year,Postgraduate (research),Full-time,2018/19,Total,Total,1270
10007790,The University of Edinburgh,Scotland,Scotland,First year,Postgraduate (research),Part-time,2018/19,Total,Total,260
10007790,The University of Edinburgh,Scotland,Scotland,Other years,Postgraduate (research),Full-time,2018/19,Total,Total,1760
10007790,The University of Edinburgh,Scotland,Scotland,Other years,Postgraduate (research),Part-time,2018/19,Total,Total,290
10007790,The University of Edinburgh,Scotland,Scotland,All,Postgraduate (research),Full-time,2018/19,Total,Total,3030
10007790,The University of Edinburgh,Scotland,Scotland,All,Postgraduate (research),Part-time,2018/19,Total,Total,550
10007790,The University of Edinburgh,Scotland,Scotland,All,Postgraduate (research),All,2018/19,Total,Total,3580
10007790,The University of Edinburgh,Scotland,Scotland,First year,Postgraduate (research),All,2018/19,Total,Total,1530
10007790,The University of Edinburgh,Scotland,Scotland,Other years,Postgraduate (research),All,2018/19,Total,Total,2050
10007762,Glasgow Caledonian University,Scotland,Scotland,First year,Postgraduate (research),Full-time,2018/19,Total,Total,65
10007762,Glasgow Caledonian University,Scotland,Scotland,First year,Postgraduate (research),Part-time,2018/19,Total,Total,55
10007762,Glasgow Caledonian University,Scotland,Scotland,Other years,Postgraduate (research),Full-time,2018/19,Total,Total,140
10007762,Glasgow Caledonian University,Scotland,Scotland,Other years,Postgraduate (research),Part-time,2018/19,Total,Total,170
10007762,Glasgow Caledonian University,Scotland,Scotland,All,Postgraduate (research),Full-time,2018/19,Total,Total,210
10007762,Glasgow Caledonian University,Scotland,Scotland,All,Postgraduate (research),Part-time,2018/19,Total,Total,230
10007762,Glasgow Caledonian University,Scotland,Scotland,All,Postgraduate (research),All,2018/19,Total,Total,435
10007762,Glasgow Caledonian University,Scotland,Scotland,First year,Postgraduate (research),All,2018/19,Total,Total,125
10007762,Glasgow Caledonian University,Scotland,Scotland,Other years,Postgraduate (research),All,2018/19,Total,Total,315
10002681,Glasgow School of Art,Scotland,Scotland,First year,Postgraduate (research),Full-time,2018/19,Total,Total,10
10002681,Glasgow School of Art,Scotland,Scotland,First year,Postgraduate (research),Part-time,2018/19,Total,Total,5
10002681,Glasgow School of Art,Scotland,Scotland,Other years,Postgraduate (research),Full-time,2018/19,Total,Total,20
10002681,Glasgow School of Art,Scotland,Scotland,Other years,Postgraduate (research),Part-time,2018/19,Total,Total,15
10002681,Glasgow School of Art,Scotland,Scotland,All,Postgraduate (research),Full-time,2018/19,Total,Total,30
10002681,Glasgow School of Art,Scotland,Scotland,All,Postgraduate (research),Part-time,2018/19,Total,Total,20
10002681,Glasgow School of Art,Scotland,Scotland,All,Postgraduate (research),All,2018/19,Total,Total,45
10002681,Glasgow School of Art,Scotland,Scotland,First year,Postgraduate (research),All,2018/19,Total,Total,15
10002681,Glasgow School of Art,Scotland,Scotland,Other years,Postgraduate (research),All,2018/19,Total,Total,35
10007794,The University of Glasgow,Scotland,Scotland,First year,Postgraduate (research),Full-time,2018/19,Total,Total,770
10007794,The University of Glasgow,Scotland,Scotland,First year,Postgraduate (research),Part-time,2018/19,Total,Total,75
10007794,The University of Glasgow,Scotland,Scotland,Other years,Postgraduate (research),Full-time,2018/19,Total,Total,1330
10007794,The University of Glasgow,Scotland,Scotland,Other years,Postgraduate (research),Part-time,2018/19,Total,Total,310
10007794,The University of Glasgow,Scotland,Scotland,All,Postgraduate (research),Full-time,2018/19,Total,Total,2100
10007794,The University of Glasgow,Scotland,Scotland,All,Postgraduate (research),Part-time,2018/19,Total,Total,380
10007794,The University of Glasgow,Scotland,Scotland,All,Postgraduate (research),All,2018/19,Total,Total,2480
10007794,The University of Glasgow,Scotland,Scotland,First year,Postgraduate (research),All,2018/19,Total,Total,845
10007794,The University of Glasgow,Scotland,Scotland,Other years,Postgraduate (research),All,2018/19,Total,Total,1635
10007764,Heriot-Watt University,Scotland,Scotland,First year,Postgraduate (research),Full-time,2018/19,Total,Total,190
10007764,Heriot-Watt University,Scotland,Scotland,First year,Postgraduate (research),Part-time,2018/19,Total,Total,10
10007764,Heriot-Watt University,Scotland,Scotland,Other years,Postgraduate (research),Full-time,2018/19,Total,Total,455
10007764,Heriot-Watt University,Scotland,Scotland,Other years,Postgraduate (research),Part-time,2018/19,Total,Total,115
10007764,Heriot-Watt University,Scotland,Scotland,All,Postgraduate (research),Full-time,2018/19,Total,Total,640
10007764,Heriot-Watt University,Scotland,Scotland,All,Postgraduate (research),Part-time,2018/19,Total,Total,125
10007764,Heriot-Watt University,Scotland,Scotland,All,Postgraduate (research),All,2018/19,Total,Total,765
10007764,Heriot-Watt University,Scotland,Scotland,First year,Postgraduate (research),All,2018/19,Total,Total,195
10007764,Heriot-Watt University,Scotland,Scotland,Other years,Postgraduate (research),All,2018/19,Total,Total,565
10005337,"Queen Margaret University, Edinburgh",Scotland,Scotland,First year,Postgraduate (research),Full-time,2018/19,Total,Total,15
10005337,"Queen Margaret University, Edinburgh",Scotland,Scotland,First year,Postgraduate (research),Part-time,2018/19,Total,Total,10
10005337,"Queen Margaret University, Edinburgh",Scotland,Scotland,Other years,Postgraduate (research),Full-time,2018/19,Total,Total,40
10005337,"Queen Margaret University, Edinburgh",Scotland,Scotland,Other years,Postgraduate (research),Part-time,2018/19,Total,Total,60
10005337,"Queen Margaret University, Edinburgh",Scotland,Scotland,All,Postgraduate (research),Full-time,2018/19,Total,Total,55
10005337,"Queen Margaret University, Edinburgh",Scotland,Scotland,All,Postgraduate (research),Part-time,2018/19,Total,Total,65
10005337,"Queen Margaret University, Edinburgh",Scotland,Scotland,All,Postgraduate (research),All,2018/19,Total,Total,120
10005337,"Queen Margaret University, Edinburgh",Scotland,Scotland,First year,Postgraduate (research),All,2018/19,Total,Total,25
10005337,"Queen Margaret University, Edinburgh",Scotland,Scotland,Other years,Postgraduate (research),All,2018/19,Total,Total,95
10005500,Robert Gordon University,Scotland,Scotland,First year,Postgraduate (research),Full-time,2018/19,Total,Total,35
10005500,Robert Gordon University,Scotland,Scotland,First year,Postgraduate (research),Part-time,2018/19,Total,Total,20
10005500,Robert Gordon University,Scotland,Scotland,Other years,Postgraduate (research),Full-time,2018/19,Total,Total,75
10005500,Robert Gordon University,Scotland,Scotland,Other years,Postgraduate (research),Part-time,2018/19,Total,Total,70
10005500,Robert Gordon University,Scotland,Scotland,All,Postgraduate (research),Full-time,2018/19,Total,Total,110
10005500,Robert Gordon University,Scotland,Scotland,All,Postgraduate (research),Part-time,2018/19,Total,Total,95
10005500,Robert Gordon University,Scotland,Scotland,All,Postgraduate (research),All,2018/19,Total,Total,200
10005500,Robert Gordon University,Scotland,Scotland,First year,Postgraduate (research),All,2018/19,Total,Total,55
10005500,Robert Gordon University,Scotland,Scotland,Other years,Postgraduate (research),All,2018/19,Total,Total,145
10005561,Royal Conservatoire of Scotland,Scotland,Scotland,First year,Postgraduate (research),Full-time,2018/19,Total,Total,5
10005561,Royal Conservatoire of Scotland,Scotland,Scotland,First year,Postgraduate (research),Part-time,2018/19,Total,Total,5
10005561,Royal Conservatoire of Scotland,Scotland,Scotland,Other years,Postgraduate (research),Full-time,2018/19,Total,Total,5
10005561,Royal Conservatoire of Scotland,Scotland,Scotland,Other years,Postgraduate (research),Part-time,2018/19,Total,Total,20
